Wann spricht die akustische Warneinrichtung eines Behältergerätes mit Druckluft an?;zwischen 55 und 65 bar;zwischen 50 und 60 bar;zwischen 45 und 55 bar;B;Atemschutz;0;0;
Welche der nachgenannten Atemschutzgeräte arbeiten umluftunabhängig?;die Behältergeräte;die Fluchthauben;die Filtergeräte;A;Atemschutz;0;0;
Wie wirken Atemgifte mit erstickender Wirkung auf den Körper des Menschen?;Sie haben eine schädigende Wirkung auf Blut, Nerven oder Zellen.;Sie zerstören durch ihre Reizwirkung die Lungenbläschen.;Sie verdrängen den Sauerstoff der Umluft und führen dadurch zur Sauerstoffminderversorgung der Zellen.;C;Atemschutz;0;0;
In welche Atemgiftgruppe gehört Blausäure (HCN)?;zu den Atemgiften mit erstickender Wirkung;zu den Atemgiften mit Reiz- und ätzwirkung;zu den Atemgiften mit Wirkung auf Blut, Nerven und Zellen;C;Atemschutz;0;0;
Welche Einsatzsituationen nach der FwDV 7 "Atemschutz" erfordern das Tragen eines Chemikalienschutzanzuges (CSA)?;jeder Feuerwehreinsatz;immer dann, wenn Atemgifte oder Sauerstoffmangel zu erwarten sind;insbesondere bei der Gefahr einer Hautschädigung durch Gase und Dämpfe oder deren Aufnahme über die Haut;C;Atemschutz;0;0;
Durch welche Maßnahme kann der Flüssigkeitsverlust des Feuerwehrangehörigen, der beim Tragen eines Atemschutzgerätes auftritt, ausgeglichen werden?;durch eine Getränkeaufnahme nach dem Einsatz;durch eine Ruhepause nach dem Einsatz;durch regelmäßige Mahlzeiten;A;Atemschutz;0;0;
Welche Faktoren bestimmen unter anderem den Sauerstoffbedarf des Menschen maßgeblich?;Der Sauerstoffbedarf ist immer gleich.;die körperliche Fitness und der Ausbildungsstand;die Tageszeit;B;Atemschutz;0;0;
Warum ist es wichtig, dass der vorgehende Atemschutztrupp regelmäßige Rückmeldungen mittels Sprechfunk an den Einheitsführer gibt?;Für den Einheitsführer sind die Informationen aus dem Inneren eines Gebäudes zur Beurteilung der Lage wichtig.;um einer elektrostatischen Aufladung des Sprechfunkgerätes entgegenzuwirken;Durch diese Maßnahme kann der Rückweg des vorgehenden Trupps gesichert werden.;A;Atemschutz;0;0;
Welche Voraussetzungen muss ein Feuerwehrangehöriger bei einer Tätigkeit unter Chemikalienschutzanzug (CSA) erfüllen?;Er muss an einer anerkannten Ausbildungsstätte als Atemschutzgeräteträger und zusätzlich als CSA-Träger erfolgreich ausgebildet worden sein.;Er muss lediglich eine Unterweisung am CSA nachweisen können.;Keine, er darf aber kein Vollbartträger sein.;A;Atemschutz;0;0;
Warum ist Kohlenstoffmonoxid (CO) ein gefährliches Atemgift?;weil es sich leicht mit den weißen Blutkörperchen verbindet;weil es ab 8 Vol.% im Blut eine lähmende Wirkung des Atemzentrums hervorruft;weil es mit dem Hämoglobin (Farbstoff der roten Blutkörperchen) eine feste Verbindung eingeht und somit die Sauerstoffaufnahme verhindert wird;C;Atemschutz;0;0;
Was machen Sie nach einem Einsatz mit Ihrem Atemschutzgerät?;Sie wechseln die Atemluftflasche und führen eine Einsatzkurzprüfung durch und Verlasten das Atemschutzgerät auf das Löschfahrzeug;Sie veranlassen die Wartung des Atemschutzgerätes (einschließlich des Atemschutzanschlusses) in Abstimmung mit dem Fahrzeugführer;Sie waschen die Vollmaske mit Seife kurz aus, wischen sie mit dem Papiertuch trocken und legen sie wieder ins Löschfahrzeug;B;Atemschutz;0;0;
Wodurch kann eine Atemkrise entstehen?;durch tiefes und langsames Ein- und Ausatmen;durch zu flaches und hastiges Ein- und Ausatmen;durch die Zwerchfell- bzw. Bauchatmung;B;Atemschutz;0;0;
Darf der im Feuerwehrdienst gebräuchliche Atemfilter (ABEK2-P3) eingesetzt werden, wenn der CO-Gehalt der Umluft mehr als 0,5 Vol.% beträgt?;Ja, wenn sonst keine Giftstoffe in der Umluft vorhanden sind.;nein;Ja, da die CO-Konzentration bis zu 2 Vol.% keine Schädigung hervorruft.;B;Atemschutz;0;0;
Welche Voraussetzungen muss ein Feuerwehrangehöriger bei Tätigkeiten unter Atemschutz erfüllen?;Er muss lediglich eine Unterweisung am Behältergerät nachweisen können.;Keine, er darf aber kein Vollbartträger sein.;Er muss zum Zeitpunkt des Einsatzes gesund sein.;C;Atemschutz;0;0;
In welchen Feuerwehrdienstvorschriften ist die Aus- und Fortbildung für Träger von Chemikalienschutzanzügen (CSA) geregelt?;in der FwDV 7 "Atemschutz";in der FwDV 2 (Ausbildung der Freiwilligen Feuerwehr);in der FwDV 3 (Einheiten im Lösch- und Hilfeleistungseinsatz);A;Atemschutz;0;0;
